Text,Views,Replies,Reposts,Likes,Bookmarks,Note Published?,Tweet ID:
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1809318048945566208
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1810362613747864064
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1795061646529802496
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753813669945774336
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1701014340307161600
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1782505482751488512
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1785386376755900416
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1861611617311695104
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1796290793956688384
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881397640849678336
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1761503802673316096
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1819856970108584448
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1858766986508927488
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1866499341868990720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1815592210764886528
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1860639682381709824
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1733238459408802304
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1772443545648976384
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1848867373740396800
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1762129191019991296
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856172877688570368
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1774648379429044736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1830651452861358336
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1852745164873183744
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1855972406143115520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856343280344010752
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1722432060554666240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1791174327108501760
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1824561418957668864
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1820838625245880576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1773477116979646720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1702674138995778048
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1858186830509699072
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1860892910079619072
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882220751945900032
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882127205863682560
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1769245792831700992
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1797551032366735360
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1803394207622512640
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1811805084981834240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1852750451483017216
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1.852809089732e+18
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1810344653972988416
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1811329608995746304
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1815122486645924096
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1816809459341054464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817998293848183040
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1818712710755824128
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1819067000343134720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1830309413179306240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831735103082410240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1833692671065640960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1732792927380815872
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1740766873229434880
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1740534267711496192
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1740779894538457344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1743028102446407936
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1765771338457719296
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1798401666267357696
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1827923952317960192
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1710557783471304960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1859483544612913152
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1808168603721650176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1820783473021391104
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1823144316014911744
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1834985052209352960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1852811837433159680
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1857631486188392704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1842605338560025088
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1784273641657491968
DivN/A,22.7M,15K,8K,31K,559,False,1646138100035272704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1616179085507702784
"Wishing I were amish. I bet amish people have really genuine friends. And they spend all day doing usefull things(quiltmaking, cow milking) instead of talkin...",viewsN/A,2,7,47,bookmarksN/A,False,1299
She brought the stadium down ,4.2M,737,9.9K,69K,12K,False,1883877302477763055
"➜ 2014 pro ana websites with tips & tricks that i have hoarded on my notes app (｡•ㅅ•｡)♡

",133.2K,10,375,4.4K,5.4K,False,1838070243672932575
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881431018017554944
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874479443663815168
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1801334730882957312
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1842035686620144128
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1822583178424434944
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1710392906245124608
I just mustered up every ounce of courage to interrupt White House Press Secretary ,11M,10K,11K,54K,2.3K,False,1684725645496958976
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1783171851818021120
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817349837936799744
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1797057146254725632
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1823129984489369856
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1866285011541926144
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1871951556431774208
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1853479670911586560
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1873056970493837312
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1526997132858822656
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1725771191644758016
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1745161772057649664
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1745294979403014400
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1749509703577530624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753852898323132928
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1754999578619707392
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1761835728000954624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1767079531108532480
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1766828487350886400
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1767540823720165888
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1770772378106147328
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1634336094664916992
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1699479766309515520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1703378200754368512
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1726350631181717760
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1742666641798779136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1742993319683301376
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1743742140553875456
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1743737589645947136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1745337694295662592
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1745335790513631232
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1865422880806174720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1782153871030096384
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1782752013777842176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1849263135280201984
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753908640489058560
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1775926842257813760
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1825739604198351104
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1849883361898053632
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881752507166421504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1847270549380349952
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1803099118354539008
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1834717560224596480
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1752967434439664128
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876934450157650176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1841300689613418496
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1842673150053523456
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1819678472614137856
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817184820151070976
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753269554816372736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1704547438780936192
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1848358982324257024
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856225403649606144
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1772724958801649664
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1812333459127578880
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1777390873518489600
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1844751647672513024
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1873168865200619520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1845854625414762496
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1862652124565233920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1632912031882805248
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851398773609812224
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835493397093814784
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1655985855079514112
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1828356353288491264
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1870214617156464896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753124078502785024
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1842710797241434112
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1810025157156638720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835624167187636736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1758465887181459456
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1773321781140488192
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1854939848496603136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856862556628951296
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817251165656006656
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1820799076310351872
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1818108158016962560
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1823024691189104896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1823409351874236928
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1846586452647215104
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1873568404000714752
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1846054604556866048
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1829984944321360384
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831805651166838784
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1834624996620038400
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1807074986647331328
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1822167293293740544
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851407148535750656
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1.720900936091e+18
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1808217785753128960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1811151391500693760
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875653372172202240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879529363038728192
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875050089305252096
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1867912636563910656
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1841821726230888704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1716884494131868160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1760332592136483328
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1864336425828646912
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874155590127411456
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1745863377493144064
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1822062058873204736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856796371048960256
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1733529033575465216
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1779941345471189504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831346487969698304
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881445430057116160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817695721086214400
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1737801138336890880
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1837023463430574080
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1815170761361125376
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1769883941878571520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1801327678349558016
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1818732213669884160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1821902144733327616
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1859318501120344064
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1869922489406480640
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1870186633749754368
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881030712188346624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831873439134839040
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1754939251257475584
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1866159486978637824
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850220453190934784
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874355285059658240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1720992936052305920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1857785345225474304
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1868945446875676672
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1803453396382581248
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1826202683612545280
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1868812727701192960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1872013696077308160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1844093204599357440
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1853179172870320640
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1834262479792210176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1853315410344501504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1777378067528438016
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1814355170412634112
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1800878947825328384
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1846271538871652864
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877088087332757504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1706676593261785344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1.812946097285e+18
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1864747031815704576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856807436457579008
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876767198514982912
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1878289425211265280
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881746484229763584
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1836066911722799360
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879027709361492480
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1754953564173041920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831831211603587072
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1767912990366388736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1779878392805945344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856703588531044352
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1821105690603115008
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1826452452251427328
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1808138877082751488
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1871028442008875520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882176131820028160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1833683260540395776
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881846680766816256
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1841995925348352256
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850944345022873856
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1821792597985136896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1822252793320685824
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1857547140010225920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1878471970716561920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1861047551736332800
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1.827092129946e+18
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1863812016672264704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1757053334781890560
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835391015181545984
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1708629197617336320
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1837084250866065920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1841451827620975104
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1857547112713482496
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877476581905400064
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881466449736478976
